,Total Hours,
,99.75,
PLANNING,HOURS,NOTES
,19.75,
Client Pre-KO,0.25,
Research/Prep,0.5,
KO call,2,
Scripting 01 + Verbal Beats,3,
CD Handoffs,1,
Beats 01 / Mood Boards ,5,
Story Plan 01 ,0.5,
Story Plan 01 Review Call,0.5,
Scripting 02 ,1,
,,
Beats 02,3,
Story Plan 02,0.5,
Story Plan 02 Review Call,0.5,
Budget + Timeline Meeting ,0.5,
Account Management- Planning,1.5,
Art Direction - Planning,,
Resource Coordination - Planning,0,
PRE-PRODUCTION,HOURS,
,12.75,
Scripting 03,,
CD Handoffs,1.5,
Beats 03,,
Style 01,4,
VO Casting,0.25,
Production Plan 01,0.25,
Production Plan 01 Review Call,0.5,
Story Plan 04 Meeting,,
Beats 04,,
Style 02,3,
Production Plan 02,0.25,
Production Plan 02 Review Call ,0.5,
Story Plan 05 Meeting,,
Beats 05,,
Style 03,,
Production Plan 03,,
Production Plan 03 Review Call ,0.5,
Budget + Timeline Meeting ,0.5,
Account Management - PreProduction,0.5,
Art Direction - PreProduction,1,
Resource Coordination- PreProduction,0.5,
PRODUCTION,HOURS,
,6.25,
Production Meeting,1,
"""Estimate for Voice Over Cost""",3,
Voiceover,0.25,
,,
Account Management - Production,0.5,
Full Draft 01 Delivery,0.5,
Animation 01 Review Call,0.5,
Full Draft 02 Delivery,0.5,
,,
,,
PRODUCTION HOUSE / COMPANY MEETINGS,HOURS,
,61,
Art Direction - Assets,1,
Art Direction - Animation,1,
Animation 01,40,
Music Composition 01,2,
Sound Design 01,3,
Animation 02,8,
Music Composition 02,1,
Sound Design 02,1,
PH Admin,3,
COMPANY MEETINGS,3,
